Participant,Condition_0=Standard,Sentence_count,Number_of_Words,Syllables_Per_Word,Letters_Per_Word,words_per_sentence,paragraph_count,Type-Token_Ratio,Measure_of_Textual_Lexical_Diversity_MTLD,vocdD_Lexical_Diversity,Word_Frequency_content_words_raw,Word_Frequency_all_words_log,SUBTLEXusFreq_ALL_Words_Log,SUBTLEXusFreq_Content_Words_Log,BNCWrittenFreq_AllWords_Log,BNCWrittenFreq_Content_Words_Log,type-token_ratio_TAACO,TLX_mental,TLX_physical,TLX_temporal,TLX_performance,TLX_effort,TLX_frustration,essay_quality,Transcription_Fluency
1,1,35,533,1.38,4.41,15.229,8,0.436,75.100,95.754,2.578,3.079,4.553,3.998,4.970,4.440,0.44,5,-7,-2,4,4,3,3.88,269.00
2,0,32,549,1.42,4.76,17.156,5,0.400,77.404,84.260,2.407,2.966,4.345,3.709,4.860,4.272,0.40,-3,-10,-1,5,1,-8,4.51,230.00
3,1,23,515,1.59,4.84,22.391,5,0.409,87.696,87.345,2.366,3.058,4.404,3.698,4.865,4.194,0.42,6,-6,-5,-7,-3,6,4.39,235.00
4,0,36,506,1.57,5.00,14.056,5,0.410,85.517,98.796,2.322,2.847,4.282,3.891,4.747,4.370,0.42,3,-3,0,-2,-2,0,3.46,294.00
5,1,22,553,1.35,4.33,25.136,1,0.436,89.827,98.249,2.501,3.102,4.537,3.852,4.936,4.280,0.45,0,1,-1,1,0,-1,3.64,227.00
6,1,25,510,1.50,4.57,20.400,4,0.488,91.354,107.492,2.391,3.069,4.547,3.844,4.914,4.242,0.50,2,4,5,3,2,-2,3.93,299.00
7,1,21,568,1.52,4.87,27.048,5,0.421,81.900,79.302,2.233,2.962,4.343,3.616,4.877,4.191,0.42,3,1,-2,3,1,6,4.50,297.00
8,1,26,530,1.64,4.98,20.385,2,0.391,56.541,61.518,2.142,2.933,4.190,3.328,4.730,3.928,0.40,1,-10,2,-6,3,8,3.49,330.00
9,1,18,526,1.52,4.77,29.222,3,0.478,97.691,88.727,2.267,3.060,4.342,3.532,4.862,4.081,0.49,2,10,-9,-3,7,10,4.49,286.00
10,1,30,529,1.50,4.82,17.633,2,0.429,79.058,90.803,2.292,2.934,4.394,3.732,4.848,4.201,0.43,3,6,6,3,6,3,4.50,345.00
11,0,18,512,1.41,4.48,28.444,5,0.393,64.354,73.049,2.503,3.105,4.547,3.946,4.985,4.415,0.39,4,1,-3,-1,1,2,3.75,159.00
12,1,18,542,1.44,4.43,30.111,1,0.516,121.218,137.325,2.306,3.024,4.550,3.819,4.897,4.210,0.53,-5,-9,-1,0,1,-6,3.19,407.00
13,0,29,633,1.48,4.88,21.828,6,0.369,70.949,68.568,2.379,2.995,4.305,3.651,4.817,4.188,0.38,4,-9,-1,5,5,1,4.45,231.00
14,0,29,601,1.52,4.66,20.724,6,0.442,92.822,95.818,2.421,3.062,4.446,3.742,4.885,4.197,0.44,6,-4,0,2,5,0,4.33,309.00
15,1,20,597,1.54,4.87,29.850,5,0.433,84.460,96.196,2.347,2.947,4.348,3.738,4.840,4.252,0.44,-9,-9,-8,7,1,-8,4.86,260.00
16,1,25,566,1.34,4.24,22.640,3,0.401,67.382,89.447,2.773,3.337,4.770,4.176,5.098,4.500,0.40,10,-10,10,-7,4,2,3.93,288.00
