Participant,Condition_0=Standard,Familiarity,Concreteness,Meaningfulness,Polysemy,words_before_main_verb,modifiers_per_noun_phrase,aspect_repetition,Logical_connectives,Content_word_overlap_adjacent_sentences,Content_word_overlap_all_sentences,Sixltr,funct,pronoun,article,verb,adverb,preps,affect,posemo,negemo,anger,cogmech,insight,cause,tentat,certain,relativ,time
1,1,578.949,365.787,416.053,4.349,3.571,0.679,0.765,63.790,0.124,0.075,18.49,58.49,12.64,5.47,18.49,3.40,12.26,5.85,2.26,3.21,0.75,22.45,2.64,3.58,6.04,0.75,10.00,4.15
2,0,576.793,394.234,438.104,4.048,3.594,0.673,0.726,58.288,0.130,0.114,22.49,50.27,8.23,4.39,14.08,2.74,14.81,3.84,1.65,2.19,0.37,25.05,4.75,5.48,3.11,1.65,10.97,4.20
3,1,574.617,385.798,421.324,3.907,3.870,0.643,0.864,64.078,0.094,0.084,26.34,55.64,10.30,5.54,14.65,4.16,17.62,5.15,2.38,2.77,1.39,18.02,1.39,2.18,5.54,1.19,11.49,4.55
4,0,572.915,378.286,429.333,4.711,3.944,0.679,0.771,59.289,0.095,0.073,26.49,49.60,10.96,1.20,21.31,4.38,8.37,4.98,2.99,1.99,0.20,24.50,4.18,7.97,4.98,1.99,10.96,4.58
5,1,576.327,380.130,427.898,4.292,3.182,0.616,0.786,52.441,0.157,0.109,17.03,58.24,10.62,7.88,15.57,4.58,16.12,4.03,1.83,2.20,0.00,19.41,2.01,4.95,4.03,2.01,11.17,3.66
6,1,580.690,385.879,444.549,4.457,3.920,0.761,0.813,33.333,0.095,0.060,22.49,56.21,13.02,8.28,13.81,4.93,14.79,5.92,3.94,1.97,0.20,18.34,4.14,2.17,1.97,2.17,14.20,5.13
7,1,574.693,401.810,436.308,4.203,6.095,0.741,0.775,52.817,0.156,0.157,25.75,50.98,10.12,5.68,12.26,1.95,16.16,4.80,3.91,0.71,0.18,20.78,2.49,6.04,2.84,0.53,9.59,3.20
8,1,557.199,428.407,444.466,3.367,4.962,0.908,0.800,49.057,0.176,0.131,30.89,46.91,5.21,10.04,11.78,1.74,16.02,3.86,3.09,0.58,0.00,15.64,3.86,3.09,1.16,1.74,12.74,2.51
9,1,574.457,406.663,434.865,4.075,7.833,0.909,0.765,60.837,0.102,0.101,22.81,54.37,8.56,9.70,11.03,3.61,15.97,4.18,1.52,2.47,0.57,19.58,1.71,3.99,1.52,1.52,11.22,3.61
10,1,571.491,404.463,437.011,3.775,4.900,0.701,0.810,45.369,0.117,0.094,24.10,53.13,9.87,7.40,14.04,3.61,14.23,5.31,2.85,2.28,0.38,20.68,4.55,5.31,2.09,1.33,8.73,3.04
11,0,573.540,383.260,416.661,4.360,2.667,0.773,0.824,74.219,0.206,0.195,17.84,59.02,10.59,6.67,15.88,3.92,14.51,2.55,1.96,0.59,0.00,21.37,2.55,4.90,3.14,0.39,10.00,3.33
12,1,575.777,389.441,424.043,4.206,5.500,0.838,0.794,49.816,0.109,0.068,17.69,57.73,16.39,6.52,14.15,4.47,13.04,3.54,1.86,1.68,1.12,19.18,2.61,3.35,2.61,1.12,10.80,2.61
13,0,579.284,383.696,438.672,3.878,5.897,0.717,0.839,64.771,0.194,0.161,25.76,52.80,7.84,5.28,12.80,4.00,17.60,3.20,2.56,0.64,0.00,15.68,1.92,3.68,2.56,0.48,17.76,7.36
