Participant,Baseline ,0ms_delay,100ms_delay,300ms_delay
1,0.483747621,0.971894409,0.818001456,0.887000518
2,0.921559104,1.185788766,1.154988951,1.444510936
3,0.497288423,0.858056279,0.792101954,0.933753689
4,0.614764035,1.050228641,1.205781171,1.021290669
5,0.724454418,1.051895458,0.958421639,0.878855822
6,0.660789546,1.195993409,1.200496459,1.126973428
7,0.775474884,0.936745792,0.9162173,1.00640966
8,0.404740191,0.829662275,0.908062808,0.782260392
9,0.392087616,0.785481334,0.887198657,0.802522283
10,0.414790669,0.858574356,0.865362777,0.905955569
11,0.616868009,0.973890767,1.072825521,1.083383315
12,0.402657742,0.853626436,0.824690535,0.860031599
13,1.115327177,1.466580769,1.151295278,1.221638769
14,0.755094404,0.924235198,1.001154528,1.062032038
15,0.810835909,1.30818681,1.335483912,1.469158458
16,1.087656754,1.075339694,0.963918545,1.109375936
17,0.401009472,0.816295986,0.758906757,0.834973717
18,0.568942759,0.965571212,0.96414262,1.029688355
19,0.68874189,1.168689872,1.182228197,1.403917543
20,0.744891409,1.012812559,1.123350314,1.123283965
21,0.568637312,0.870682807,0.958948166,0.870061437
22,0.49622099,0.891005409,0.936181698,0.854780998
23,0.393145239,0.963974516,1.090530967,0.899590865
24,0.426592462,1.102753166,1.002432987,1.049930826
25,0.641244621,1.401287901,1.4874626,1.39670107
26,0.470454772,0.91759586,0.899416065,0.931714141
27,0.553046819,0.85021794,0.832969828,0.984210307
28,0.46851732,1.06237574,1.139811767,1.177728317
29,0.475797118,0.948383185,1.000918882,1.040104792
30,0.67664431,1.073458248,1.270301255,1.138311378
31,0.485329159,0.887485095,0.855224961,0.902201971
32,1.073444122,1.143237058,1.046512374,1.165155376
33,0.646353784,0.996161985,1.004287842,0.973833415
